chrom	chromStart	chromEnd	name	score	strand	length	GC
chr8	30105	62206	cp068270_30106	286	.	32101	40.01
chr8	62206	204941	cp068270_62207	493	.	142735	47.28
chr8	204941	359325	cp068270_204942	355	.	154384	42.43
chr8	359325	2063982	cp068270_359326	518	.	1704657	48.14
chr8	2063982	2194978	cp068270_2063983	313	.	130996	40.99
chr8	2194978	2261873	cp068270_2194979	475	.	66895	46.63
chr8	2261873	3541620	cp068270_2261874	269	.	1279747	39.44
chr8	3541620	5783376	cp068270_3541621	223	.	2241756	37.82
chr8	5783376	6185041	cp068270_5783377	355	.	401665	42.44
chr8	6185041	6319882	cp068270_6185042	295	.	134841	40.34
chr8	6319882	6384473	cp068270_6319883	460	.	64591	46.13
chr8	6384473	6464750	cp068270_6384474	356	.	80277	42.49
chr8	6464750	6525833	cp068270_6464751	236	.	61083	38.29
chr8	6525833	6591127	cp068270_6525834	562	.	65294	49.69
chr8	6591127	6866582	cp068270_6591128	454	.	275455	45.92
chr8	6866582	6954027	cp068270_6866583	361	.	87445	42.64
chr8	6954027	6999055	cp068270_6954028	549	.	45028	49.22
chr8	6999055	7031090	cp068270_6999056	671	.	32035	53.50
chr8	7031090	7260187	cp068270_7031091	330	.	229097	41.56
chr8	7260187	7344373	cp068270_7260188	670	.	84186	53.46
chr8	7344373	7389352	cp068270_7344374	549	.	44979	49.25
chr8	7389352	7424052	cp068270_7389353	325	.	34700	41.39
chr8	7424052	7535769	cp068270_7424053	431	.	111717	45.11
chr8	7535769	7565795	cp068270_7535770	646	.	30026	52.62
chr8	7565795	7646042	cp068270_7565796	322	.	80247	41.29
chr8	7646042	7692133	cp068270_7646043	169	.	46091	35.94
chr8	7692133	7825031	cp068270_7692134	446	.	132898	45.62
chr8	7825031	8140417	cp068270_7825032	500	.	315386	47.51
chr8	8140417	8197908	cp068270_8140418	637	.	57491	52.31
chr8	8197908	8262608	cp068270_8197909	406	.	64700	44.23
chr8	8262608	8301449	cp068270_8262609	707	.	38841	54.77
chr8	8301449	8333664	cp068270_8301450	528	.	32215	48.48
chr8	8333664	8651527	cp068270_8333665	324	.	317863	41.36
chr8	8651527	8853927	cp068270_8651528	543	.	202400	49.03
chr8	8853927	9003780	cp068270_8853928	374	.	149853	43.12
chr8	9003780	9221377	cp068270_9003781	592	.	217597	50.74
chr8	9221377	9272366	cp068270_9221378	382	.	50989	43.37
chr8	9272366	9304544	cp068270_9272367	214	.	32178	37.50
chr8	9304544	9366306	cp068270_9304545	535	.	61762	48.75
chr8	9366306	9447331	cp068270_9366307	415	.	81025	44.56
chr8	9447331	9753428	cp068270_9447332	334	.	306097	41.71
chr8	9753428	9881456	cp068270_9753429	439	.	128028	45.37
chr8	9881456	9977690	cp068270_9881457	355	.	96234	42.45
chr8	9977690	10187085	cp068270_9977691	192	.	209395	36.75
chr8	10187085	11501767	cp068270_10187086	366	.	1314682	42.82
chr8	11501767	11533646	cp068270_11501768	594	.	31879	50.81
chr8	11533646	11624887	cp068270_11533647	433	.	91241	45.17
chr8	11624887	11659573	cp068270_11624888	324	.	34686	41.36
chr8	11659573	11704553	cp068270_11659574	549	.	44980	49.24
chr8	11704553	11926209	cp068270_11704554	678	.	221656	53.74
chr8	11926209	12152895	cp068270_11926210	331	.	226686	41.60
chr8	12152895	12182920	cp068270_12152896	647	.	30025	52.66
chr8	12182920	12295671	cp068270_12182921	431	.	112751	45.11
chr8	12295671	12330168	cp068270_12295672	324	.	34497	41.37
chr8	12330168	12375128	cp068270_12330169	551	.	44960	49.31
chr8	12375128	12467726	cp068270_12375129	667	.	92598	53.35
chr8	12467726	12690580	cp068270_12467727	328	.	222854	41.48
chr8	12690580	12720595	cp068270_12690581	645	.	30015	52.59
chr8	12720595	12987660	cp068270_12720596	443	.	267065	45.54
chr8	12987660	13018877	cp068270_12987661	168	.	31217	35.90
chr8	13018877	13434122	cp068270_13018878	334	.	415245	41.69
chr8	13434122	13642183	cp068270_13434123	250	.	208061	38.76
chr8	13642183	14153854	cp068270_13642184	193	.	511671	36.77
chr8	14153854	15254800	cp068270_14153855	143	.	1100946	35.03
chr8	15254800	17577014	cp068270_15254801	195	.	2322214	36.85
chr8	17577014	17619366	cp068270_17577015	368	.	42352	42.89
chr8	17619366	17838390	cp068270_17619367	279	.	219024	39.79
chr8	17838390	17901497	cp068270_17838391	439	.	63107	45.38
chr8	17901497	18077484	cp068270_17901498	313	.	175987	40.96
chr8	18077484	18168254	cp068270_18077485	215	.	90770	37.55
chr8	18168254	18198369	cp068270_18168255	347	.	30115	42.15
chr8	18198369	18265226	cp068270_18198370	137	.	66857	34.81
chr8	18265226	18307663	cp068270_18265227	222	.	42437	37.79
chr8	18307663	19259880	cp068270_18307664	274	.	952217	39.61
chr8	19259880	19572490	cp068270_19259881	322	.	312610	41.27
chr8	19572490	19797944	cp068270_19572491	374	.	225454	43.12
chr8	19797944	20368059	cp068270_19797945	303	.	570115	40.61
chr8	20368059	20446194	cp068270_20368060	420	.	78135	44.72
chr8	20446194	20495550	cp068270_20446195	277	.	49356	39.70
chr8	20495550	20570363	cp068270_20495551	594	.	74813	50.82
chr8	20570363	20697967	cp068270_20570364	402	.	127604	44.10
chr8	20697967	20749594	cp068270_20697968	478	.	51627	46.76
chr8	20749594	21815875	cp068270_20749595	373	.	1066281	43.08
chr8	21815875	21930114	cp068270_21815876	437	.	114239	45.32
chr8	21930114	22037299	cp068270_21930115	598	.	107185	50.96
chr8	22037299	22067312	cp068270_22037300	729	.	30013	55.55
chr8	22067312	22164648	cp068270_22067313	523	.	97336	48.33
chr8	22164648	22194656	cp068270_22164649	665	.	30008	53.29
chr8	22194656	22250249	cp068270_22194657	224	.	55593	37.86
chr8	22250249	22310317	cp068270_22250250	401	.	60068	44.05
chr8	22310317	22508267	cp068270_22310318	746	.	197950	56.12
chr8	22508267	22539547	cp068270_22508268	503	.	31280	47.64
chr8	22539547	22639072	cp068270_22539548	359	.	99525	42.58
chr8	22639072	22684243	cp068270_22639073	567	.	45171	49.88
chr8	22684243	22715727	cp068270_22684244	483	.	31484	46.92
chr8	22715727	22821730	cp068270_22715728	256	.	106003	38.98
chr8	22821730	22911699	cp068270_22821731	760	.	89969	56.61
chr8	22911699	22942881	cp068270_22911700	426	.	31182	44.93
chr8	22942881	23063247	cp068270_22942882	649	.	120366	52.74
chr8	23063247	23260583	cp068270_23063248	469	.	197336	46.42
chr8	23260583	23306663	cp068270_23260584	644	.	46080	52.56
chr8	23306663	23338036	cp068270_23306664	272	.	31373	39.53
chr8	23338036	23854010	cp068270_23338037	472	.	515974	46.54
chr8	23854010	23946262	cp068270_23854011	288	.	92252	40.11
chr8	23946262	24074226	cp068270_23946263	424	.	127964	44.87
chr8	24074226	24286334	cp068270_24074227	284	.	212108	39.97
chr8	24286334	24903204	cp068270_24286335	195	.	616870	36.84
chr8	24903204	25156849	cp068270_24903205	234	.	253645	38.20
chr8	25156849	25970608	cp068270_25156850	330	.	813759	41.55
chr8	25970608	26066095	cp068270_25970609	213	.	95487	37.48
chr8	26066095	26216086	cp068270_26066096	314	.	149991	40.99
chr8	26216086	27144308	cp068270_26216087	369	.	928222	42.93
chr8	27144308	27507806	cp068270_27144309	244	.	363498	38.54
chr8	27507806	27706541	cp068270_27507807	460	.	198735	46.12
chr8	27706541	27953900	cp068270_27706542	533	.	247359	48.68
chr8	27953900	28145102	cp068270_27953901	285	.	191202	39.98
chr8	28145102	28274762	cp068270_28145103	545	.	129660	49.08
chr8	28274762	28371690	cp068270_28274763	421	.	96928	44.76
chr8	28371690	28458867	cp068270_28371691	256	.	87177	38.97
chr8	28458867	28585701	cp068270_28458868	384	.	126834	43.46
chr8	28585701	28714593	cp068270_28585702	507	.	128892	47.76
chr8	28714593	28773748	cp068270_28714594	385	.	59155	43.48
chr8	28773748	28854477	cp068270_28773749	164	.	80729	35.76
chr8	28854477	29069948	cp068270_28854478	410	.	215471	44.38
chr8	29069948	29170001	cp068270_29069949	314	.	100053	41.00
chr8	29170001	29327115	cp068270_29170002	192	.	157114	36.74
chr8	29327115	29357546	cp068270_29327116	576	.	30431	50.17
chr8	29357546	29540323	cp068270_29357547	311	.	182777	40.90
chr8	29540323	29653740	cp068270_29540324	450	.	113417	45.76
chr8	29653740	31104102	cp068270_29653741	359	.	1450362	42.59
chr8	31104102	33591750	cp068270_31104103	231	.	2487648	38.10
chr8	33591750	33693409	cp068270_33591751	314	.	101659	41.02
chr8	33693409	34018488	cp068270_33693410	419	.	325079	44.70
chr8	34018488	34054101	cp068270_34018489	279	.	35613	39.77
chr8	34054101	34087541	cp068270_34054102	359	.	33440	42.60
chr8	34087541	34192100	cp068270_34087542	214	.	104559	37.51
chr8	34192100	34407852	cp068270_34192101	276	.	215752	39.69
chr8	34407852	35726647	cp068270_34407853	208	.	1318795	37.29
chr8	35726647	37401755	cp068270_35726648	249	.	1675108	38.73
chr8	37401755	37702016	cp068270_37401756	381	.	300261	43.36
chr8	37702016	37746516	cp068270_37702017	271	.	44500	39.49
chr8	37746516	38056187	cp068270_37746517	466	.	309671	46.33
chr8	38056187	38121530	cp068270_38056188	712	.	65343	54.94
chr8	38121530	38349976	cp068270_38121531	501	.	228446	47.57
chr8	38349976	38546621	cp068270_38349977	382	.	196645	43.37
chr8	38546621	38657728	cp068270_38546622	242	.	111107	38.50
chr8	38657728	38783483	cp068270_38657729	535	.	125755	48.73
chr8	38783483	39274730	cp068270_38783484	419	.	491247	44.69
chr8	39274730	39619783	cp068270_39274731	219	.	345053	37.68
chr8	39619783	40135470	cp068270_39619784	139	.	515687	34.89
chr8	40135470	40340147	cp068270_40135471	324	.	204677	41.36
chr8	40340147	40609674	cp068270_40340148	236	.	269527	38.29
chr8	40609674	40796640	cp068270_40609675	329	.	186966	41.54
chr8	40796640	41107241	cp068270_40796641	276	.	310601	39.69
chr8	41107241	41549164	cp068270_41107242	401	.	441923	44.04
chr8	41549164	41622417	cp068270_41549165	568	.	73253	49.89
chr8	41622417	41668602	cp068270_41622418	245	.	46185	38.59
