chrom	chromStart	chromEnd	name	score	strand	length	GC
chr3	218574	1691326	cp068275_218575	183	.	1472752	36.42
chr3	1691326	2713285	cp068275_1691327	209	.	1021959	37.33
chr3	2713285	4459190	cp068275_2713286	267	.	1745905	39.37
chr3	4459190	5430155	cp068275_4459191	362	.	970965	42.69
chr3	5430155	6032520	cp068275_5430156	249	.	602365	38.72
chr3	6032520	7505550	cp068275_6032521	206	.	1473030	37.22
chr3	7505550	8400804	cp068275_7505551	266	.	895254	39.33
chr3	8400804	8609085	cp068275_8400805	396	.	208281	43.88
chr3	8609085	8760905	cp068275_8609086	502	.	151820	47.59
chr3	8760905	8880866	cp068275_8760906	347	.	119961	42.18
chr3	8880866	8953407	cp068275_8880867	212	.	72541	37.44
chr3	8953407	9252319	cp068275_8953408	463	.	298912	46.21
chr3	9252319	9390965	cp068275_9252320	356	.	138646	42.46
chr3	9390965	9453636	cp068275_9390966	218	.	62671	37.66
chr3	9453636	9483677	cp068275_9453637	333	.	30041	41.66
chr3	9483677	9637513	cp068275_9483678	446	.	153836	45.64
chr3	9637513	9905705	cp068275_9637514	556	.	268192	49.48
chr3	9905705	9944631	cp068275_9905706	679	.	38926	53.8
chr3	9944631	10126572	cp068275_9944632	415	.	181941	44.56
chr3	10126572	10321799	cp068275_10126573	514	.	195227	47.99
chr3	10321799	10353626	cp068275_10321800	734	.	31827	55.69
chr3	10353626	10528805	cp068275_10353627	602	.	175179	51.09
chr3	10528805	11272885	cp068275_10528806	482	.	744080	46.9
chr3	11272885	11441331	cp068275_11272886	321	.	168446	41.27
chr3	11441331	11525005	cp068275_11441332	424	.	83674	44.86
chr3	11525005	11573705	cp068275_11525006	618	.	48700	51.63
chr3	11573705	12004362	cp068275_11573706	394	.	430657	43.8
chr3	12004362	12132626	cp068275_12004363	242	.	128264	38.5
chr3	12132626	12190691	cp068275_12132627	458	.	58065	46.05
chr3	12190691	12287377	cp068275_12190692	295	.	96686	40.36
chr3	12287377	12388342	cp068275_12287378	207	.	100965	37.27
chr3	12388342	12418348	cp068275_12388343	273	.	30006	39.56
chr3	12418348	12483019	cp068275_12418349	496	.	64671	47.39
chr3	12483019	12567499	cp068275_12483020	379	.	84480	43.28
chr3	12567499	12597512	cp068275_12567500	476	.	30013	46.66
chr3	12597512	12653492	cp068275_12597513	330	.	55980	41.56
chr3	12653492	12793977	cp068275_12653493	494	.	140485	47.32
chr3	12793977	13719473	cp068275_12793978	641	.	925496	52.44
chr3	13719473	13764620	cp068275_13719474	275	.	45147	39.65
chr3	13764620	13897398	cp068275_13764621	610	.	132778	51.38
chr3	13897398	14114758	cp068275_13897399	301	.	217360	40.54
chr3	14114758	14155267	cp068275_14114759	606	.	40509	51.23
chr3	14155267	14244436	cp068275_14155268	372	.	89169	43.04
chr3	14244436	14341174	cp068275_14244437	542	.	96738	48.99
chr3	14341174	14605758	cp068275_14341175	639	.	264584	52.4
chr3	14605758	14655343	cp068275_14605759	477	.	49585	46.72
chr3	14655343	14759052	cp068275_14655344	341	.	103709	41.95
chr3	14759052	14931190	cp068275_14759053	554	.	172138	49.41
chr3	14931190	15008962	cp068275_14931191	299	.	77772	40.48
chr3	15008962	15132156	cp068275_15008963	452	.	123194	45.85
chr3	15132156	15209871	cp068275_15132157	326	.	77715	41.41
chr3	15209871	15257735	cp068275_15209872	189	.	47864	36.62
chr3	15257735	15311078	cp068275_15257736	500	.	53343	47.51
chr3	15311078	15558663	cp068275_15311079	421	.	247585	44.76
chr3	15558663	15627018	cp068275_15558664	262	.	68355	39.2
chr3	15627018	15663580	cp068275_15627019	409	.	36562	44.35
chr3	15663580	15880379	cp068275_15663581	211	.	216799	37.42
chr3	15880379	16052857	cp068275_15880380	324	.	172478	41.36
