chrom	chromStart	chromEnd	name	score	strand	length	GC
chr2	1475703	1886854	cp068276_1475704	593	.	411151	50.79
chr2	1886854	2050679	cp068276_1886855	443	.	163825	45.53
chr2	2050679	2312099	cp068276_2050680	355	.	261420	42.45
chr2	2312099	2508282	cp068276_2312100	261	.	196183	39.15
chr2	2508282	2568892	cp068276_2508283	454	.	60610	45.92
chr2	2568892	2602871	cp068276_2568893	575	.	33979	50.15
chr2	2602871	2645345	cp068276_2602872	323	.	42474	41.33
chr2	2645345	2807817	cp068276_2645346	615	.	162472	51.54
chr2	2807817	2838171	cp068276_2807818	381	.	30354	43.36
chr2	2838171	2893356	cp068276_2838172	610	.	55185	51.37
chr2	2893356	3111795	cp068276_2893357	374	.	218439	43.12
chr2	3111795	3703285	cp068276_3111796	535	.	591490	48.76
chr2	3703285	3807324	cp068276_3703286	431	.	104039	45.12
chr2	3807324	4138516	cp068276_3807325	362	.	331192	42.69
chr2	4138516	5330972	cp068276_4138517	227	.	1192456	37.98
chr2	5330972	6021574	cp068276_5330973	329	.	690602	41.53
chr2	6021574	6778764	cp068276_6021575	263	.	757190	39.23
chr2	6778764	7157575	cp068276_6778765	389	.	378811	43.63
chr2	7157575	7973336	cp068276_7157576	292	.	815761	40.23
chr2	7973336	8198997	cp068276_7973337	366	.	225661	42.84
chr2	8198997	8243083	cp068276_8198998	223	.	44086	37.82
chr2	8243083	8475910	cp068276_8243084	410	.	232827	44.38
chr2	8475910	8738939	cp068276_8475911	541	.	263029	48.96
chr2	8738939	8848136	cp068276_8738940	227	.	109197	37.96
chr2	8848136	8878149	cp068276_8848137	398	.	30013	43.94
chr2	8878149	9116477	cp068276_8878150	293	.	238328	40.28
chr2	9116477	9181363	cp068276_9116478	554	.	64886	49.42
chr2	9181363	9396799	cp068276_9181364	453	.	215436	45.86
chr2	9396799	9427898	cp068276_9396800	637	.	31099	52.30
chr2	9427898	9654782	cp068276_9427899	350	.	226884	42.27
chr2	9654782	9762133	cp068276_9654783	501	.	107351	47.55
chr2	9762133	9852834	cp068276_9762134	639	.	90701	52.39
chr2	9852834	9912811	cp068276_9852835	320	.	59977	41.22
chr2	9912811	9950889	cp068276_9912812	203	.	38078	37.14
chr2	9950889	10030822	cp068276_9950890	389	.	79933	43.63
chr2	10030822	10591953	cp068276_10030823	612	.	561131	51.45
chr2	10591953	10716275	cp068276_10591954	308	.	124322	40.79
chr2	10716275	11203718	cp068276_10716276	512	.	487443	47.93
chr2	11203718	11376165	cp068276_11203719	189	.	172447	36.62
