chrom	chromStart	chromEnd	name	score	strand	length	GC
chr4	489000	616179	cp068274_489001	552	.	127179	49.33
chr4	616179	955068	cp068274_616180	740	.	338889	55.91
chr4	955068	1055021	cp068274_955069	946	.	99953	63.11
chr4	1055021	1190207	cp068274_1055022	500	.	135186	47.50
chr4	1190207	1741507	cp068274_1190208	730	.	551300	55.58
chr4	1741507	1806261	cp068274_1741508	1000	.	64754	65.34
chr4	1806261	1870759	cp068274_1806262	712	.	64498	54.94
chr4	1870759	3408285	cp068274_1870760	532	.	1537526	48.65
chr4	3408285	3503263	cp068274_3408286	863	.	94978	60.21
chr4	3503263	3876096	cp068274_3503264	719	.	372833	55.17
chr4	3876096	3923704	cp068274_3876097	466	.	47608	46.33
chr4	3923704	3956321	cp068274_3923705	641	.	32617	52.46
chr4	3956321	5025443	cp068274_3956322	446	.	1069122	45.64
chr4	5025443	5061775	cp068274_5025444	214	.	36332	37.50
chr4	5061775	5251085	cp068274_5061776	365	.	189310	42.80
chr4	5251085	5287031	cp068274_5251086	136	.	35946	34.79
chr4	5287031	5333781	cp068274_5287032	333	.	46750	41.67
chr4	5333781	5768449	cp068274_5333782	437	.	434668	45.30
chr4	5768449	6195823	cp068274_5768450	547	.	427374	49.15
chr4	6195823	6372207	cp068274_6195824	676	.	176384	53.67
chr4	6372207	6759005	cp068274_6372208	592	.	386798	50.74
chr4	6759005	6842180	cp068274_6759006	304	.	83175	40.65
chr4	6842180	7073469	cp068274_6842181	558	.	231289	49.56
chr4	7073469	7746555	cp068274_7073470	670	.	673086	53.46
chr4	7746555	7917039	cp068274_7746556	450	.	170484	45.78
chr4	7917039	8166534	cp068274_7917040	674	.	249495	53.62
chr4	8166534	8278243	cp068274_8166535	785	.	111709	57.49
chr4	8278243	8815836	cp068274_8278244	618	.	537593	51.65
chr4	8815836	8889980	cp068274_8815837	800	.	74144	58.02
chr4	8889980	9118560	cp068274_8889981	438	.	228580	45.36
chr4	9118560	9389585	cp068274_9118561	559	.	271025	49.57
chr4	9389585	9430794	cp068274_9389586	314	.	41209	41.01
chr4	9430794	9472553	cp068274_9430795	166	.	41759	35.83
chr4	9472553	9542388	cp068274_9472554	537	.	69835	48.81
chr4	9542388	9576150	cp068274_9542389	346	.	33762	42.14
chr4	9576150	9687426	cp068274_9576151	438	.	111276	45.36
chr4	9687426	9718035	cp068274_9687427	668	.	30609	53.38
chr4	9718035	9783188	cp068274_9718036	498	.	65153	47.43
chr4	9783188	10074402	cp068274_9783189	424	.	291214	44.87
chr4	10074402	10116908	cp068274_10074403	722	.	42506	55.28
chr4	10116908	10163810	cp068274_10116909	537	.	46902	48.82
chr4	10163810	10256744	cp068274_10163811	421	.	92934	44.75
chr4	10256744	10620587	cp068274_10256745	347	.	363843	42.15
chr4	10620587	11644388	cp068274_10620588	279	.	1023801	39.78
chr4	11644388	12697573	cp068274_11644389	198	.	1053185	36.93
chr4	12697573	13045089	cp068274_12697574	236	.	347516	38.28
chr4	13045089	13347257	cp068274_13045090	299	.	302168	40.49
chr4	13347257	13501881	cp068274_13347258	171	.	154624	36.01
chr4	13501881	13531889	cp068274_13501882	637	.	30008	52.31
chr4	13531889	14012203	cp068274_13531890	290	.	480314	40.16
chr4	14012203	14615354	cp068274_14012204	235	.	603151	38.24
chr4	14615354	14901095	cp068274_14615355	305	.	285741	40.70
chr4	14901095	14987148	cp068274_14901096	206	.	86053	37.24
chr4	14987148	15060952	cp068274_14987149	99	.	73804	33.50
chr4	15060952	15096893	cp068274_15060953	231	.	35941	38.10
chr4	15096893	15555486	cp068274_15096894	298	.	458593	40.46
chr4	15555486	15677369	cp068274_15555487	222	.	121883	37.78
chr4	15677369	15774022	cp068274_15677370	382	.	96653	43.39
chr4	15774022	15813966	cp068274_15774023	213	.	39944	37.46
chr4	15813966	15884733	cp068274_15813967	314	.	70767	41.01
chr4	15884733	16151893	cp068274_15884734	386	.	267160	43.51
chr4	16151893	16184888	cp068274_16151894	166	.	32995	35.83
chr4	16184888	17444683	cp068274_16184889	295	.	1259795	40.36
chr4	17444683	17757829	cp068274_17444684	412	.	313146	44.43
chr4	17757829	17794003	cp068274_17757830	288	.	36174	40.11
chr4	17794003	17986265	cp068274_17794004	157	.	192262	35.50
chr4	17986265	18682302	cp068274_17986266	236	.	696037	38.29
chr4	18682302	20561754	cp068274_18682303	179	.	1879452	36.29
chr4	20561754	20669848	cp068274_20561755	278	.	108094	39.76
chr4	20669848	22429714	cp068274_20669849	223	.	1759866	37.81
chr4	22429714	22500565	cp068274_22429715	333	.	70851	41.66
chr4	22500565	22935993	cp068274_22500566	251	.	435428	38.80
chr4	22935993	23684584	cp068274_22935994	190	.	748591	36.68
chr4	23684584	23715169	cp068274_23684585	329	.	30585	41.55
chr4	23715169	24039245	cp068274_23715170	251	.	324076	38.82
chr4	24039245	24775276	cp068274_24039246	320	.	736031	41.21
chr4	24775276	25100884	cp068274_24775277	407	.	325608	44.26
chr4	25100884	25138343	cp068274_25100885	152	.	37459	35.35
chr4	25138343	25363752	cp068274_25138344	314	.	225409	40.99
chr4	25363752	25404264	cp068274_25363753	197	.	40512	36.92
chr4	25404264	26206969	cp068274_25404265	416	.	802705	44.57
chr4	26206969	26341431	cp068274_26206970	328	.	134462	41.50
chr4	26341431	26435538	cp068274_26341432	230	.	94107	38.06
chr4	26435538	26488946	cp068274_26435539	441	.	53408	45.46
chr4	26488946	26529200	cp068274_26488947	341	.	40254	41.95
chr4	26529200	26762294	cp068274_26529201	192	.	233094	36.75
chr4	26762294	26847234	cp068274_26762295	372	.	84940	43.02
chr4	26847234	26879323	cp068274_26847235	208	.	32089	37.30
chr4	26879323	27011893	cp068274_26879324	164	.	132570	35.77
chr4	27011893	27064779	cp068274_27011894	350	.	52886	42.27
chr4	27064779	27117483	cp068274_27064780	430	.	52704	45.07
chr4	27117483	27373603	cp068274_27117484	279	.	256120	39.77
chr4	27373603	28914136	cp068274_27373604	160	.	1540533	35.61
chr4	28914136	30483543	cp068274_28914137	127	.	1569407	34.46
chr4	30483543	30877157	cp068274_30483544	184	.	393614	36.44
chr4	30877157	32274587	cp068274_30877158	145	.	1397430	35.09
chr4	32274587	32306185	cp068274_32274588	249	.	31598	38.72
chr4	32306185	35645831	cp068274_32306186	127	.	3339646	34.48
chr4	35645831	36194081	cp068274_35645832	161	.	548250	35.66
chr4	36194081	37102793	cp068274_36194082	195	.	908712	36.84
chr4	37102793	37349524	cp068274_37102794	238	.	246731	38.36
chr4	37349524	37503361	cp068274_37349525	283	.	153837	39.94
chr4	37503361	38935552	cp068274_37503362	347	.	1432191	42.15
chr4	38935552	39324277	cp068274_38935553	253	.	388725	38.86
chr4	39324277	39761963	cp068274_39324278	346	.	437686	42.13
chr4	39761963	39811754	cp068274_39761964	454	.	49791	45.89
chr4	39811754	39913444	cp068274_39811755	236	.	101690	38.28
chr4	39913444	40028213	cp068274_39913445	449	.	114769	45.73
chr4	40028213	40059842	cp068274_40028214	377	.	31629	43.21
chr4	40059842	40141251	cp068274_40059843	255	.	81409	38.94
chr4	40141251	40670002	cp068274_40141252	393	.	528751	43.76
chr4	40670002	40792550	cp068274_40670003	279	.	122548	39.79
chr4	40792550	40831814	cp068274_40792551	497	.	39264	47.41
chr4	40831814	40943000	cp068274_40831815	414	.	111186	44.52
chr4	40943000	41847104	cp068274_40943001	307	.	904104	40.77
chr4	41847104	41910578	cp068274_41847105	384	.	63474	43.45
chr4	41910578	41940681	cp068274_41910579	129	.	30103	34.52
chr4	41940681	41970862	cp068274_41940682	332	.	30181	41.64
chr4	41970862	42062181	cp068274_41970863	185	.	91319	36.51
chr4	42062181	42124491	cp068274_42062182	294	.	62310	40.30
chr4	42124491	42380648	cp068274_42124492	378	.	256157	43.25
chr4	42380648	43089700	cp068274_42380649	221	.	709052	37.75
chr4	43089700	45664952	cp068274_43089701	163	.	2575252	35.74
chr4	45664952	46318869	cp068274_45664953	132	.	653917	34.65
chr4	46318869	47303637	cp068274_46318870	182	.	984768	36.40
chr4	47303637	47976259	cp068274_47303638	227	.	672622	37.97
chr4	47976259	48332880	cp068274_47976260	296	.	356621	40.38
chr4	48332880	48429854	cp068274_48332881	206	.	96974	37.23
chr4	48429854	48463365	cp068274_48429855	399	.	33511	43.97
chr4	48463365	48668733	cp068274_48463366	164	.	205368	35.76
chr4	48668733	49058108	cp068274_48668734	291	.	389375	40.19
chr4	49058108	49233302	cp068274_49058109	353	.	175194	42.39
chr4	49233302	49299044	cp068274_49233303	602	.	65742	51.08
chr4	49299044	49329408	cp068274_49299045	299	.	30364	40.48
chr4	49329408	49379982	cp068274_49329409	166	.	50574	35.82
chr4	49379982	49418979	cp068274_49379983	514	.	38997	47.99
chr4	49418979	49480234	cp068274_49418980	316	.	61255	41.09
chr4	49480234	49529483	cp068274_49480235	170	.	49249	35.96
chr4	49529483	49579504	cp068274_49529484	486	.	50021	47.04
chr4	49579504	49610856	cp068274_49579505	450	.	31352	45.76
chr4	49610856	49647297	cp068274_49610857	351	.	36441	42.32
chr4	49647297	49705144	cp068274_49647298	0	.	57847	23.80
chr4	49705144	50266305	cp068274_49705145	214	.	561161	37.50
chr4	50266305	50433494	cp068274_50266306	217	.	167189	37.62
chr4	50433494	50845704	cp068274_50433495	0	.	412210	23.94
chr4	50845704	51190415	cp068274_50845705	0	.	344711	24.13
chr4	51190415	52115959	cp068274_51190416	0	.	925544	24.01
chr4	52115959	52145963	cp068274_52115960	209	.	30004	37.32
chr4	52145963	54035357	cp068274_52145964	217	.	1889394	37.60
