chrom	chromStart	chromEnd	name	score	strand	length	GC
chr6	31656	96699	cp068272_31657	511	.	65043	47.92
chr6	96699	146566	cp068272_96700	265	.	49867	39.30
chr6	146566	333857	cp068272_146567	534	.	187291	48.71
chr6	333857	541808	cp068272_333858	292	.	207951	40.23
chr6	541808	1239845	cp068272_541809	382	.	698037	43.39
chr6	1239845	1272001	cp068272_1239846	692	.	32156	54.23
chr6	1272001	1603030	cp068272_1272002	464	.	331029	46.25
chr6	1603030	2220394	cp068272_1603031	279	.	617364	39.79
chr6	2220394	2705725	cp068272_2220395	376	.	485331	43.18
chr6	2705725	3011764	cp068272_2705726	446	.	306039	45.62
chr6	3011764	3326821	cp068272_3011765	514	.	315057	48.01
chr6	3326821	3568278	cp068272_3326822	396	.	241457	43.89
chr6	3568278	3631680	cp068272_3568279	566	.	63402	49.84
chr6	3631680	3803314	cp068272_3631681	428	.	171634	44.99
chr6	3803314	3899914	cp068272_3803315	304	.	96600	40.67
chr6	3899914	3945337	cp068272_3899915	212	.	45423	37.43
chr6	3945337	4663652	cp068272_3945338	364	.	718315	42.76
chr6	4663652	4757950	cp068272_4663653	256	.	94298	38.99
chr6	4757950	4799086	cp068272_4757951	364	.	41136	42.77
chr6	4799086	5030076	cp068272_4799087	438	.	230990	45.34
chr6	5030076	5131787	cp068272_5030077	338	.	101711	41.85
chr6	5131787	5457263	cp068272_5131788	284	.	325476	39.97
chr6	5457263	5567518	cp068272_5457264	365	.	110255	42.79
chr6	5567518	5725455	cp068272_5567519	479	.	157937	46.78
chr6	5725455	5825288	cp068272_5725456	325	.	99833	41.39
chr6	5825288	5906499	cp068272_5825289	431	.	81211	45.10
chr6	5906499	5989577	cp068272_5906500	236	.	83078	38.28
chr6	5989577	6027100	cp068272_5989578	317	.	37523	41.12
chr6	6027100	6070788	cp068272_6027101	425	.	43688	44.90
chr6	6070788	6453470	cp068272_6070789	304	.	382682	40.65
chr6	6453470	7098621	cp068272_6453471	432	.	645151	45.15
chr6	7098621	7148883	cp068272_7098622	598	.	50262	50.94
chr6	7148883	7725368	cp068272_7148884	360	.	576485	42.62
chr6	7725368	7790952	cp068272_7725369	495	.	65584	47.34
chr6	7790952	8247252	cp068272_7790953	306	.	456300	40.73
chr6	8247252	9940944	cp068272_8247253	206	.	1693692	37.24
chr6	9940944	9987615	cp068272_9940945	355	.	46671	42.44
chr6	9987615	10156967	cp068272_9987616	269	.	169352	39.43
chr6	10156967	10449310	cp068272_10156968	422	.	292343	44.79
chr6	10449310	11706702	cp068272_10449311	339	.	1257392	41.88
chr6	11706702	13027512	cp068272_11706703	275	.	1320810	39.64
chr6	13027512	13365814	cp068272_13027513	411	.	338302	44.42
chr6	13365814	13493702	cp068272_13365815	365	.	127888	42.80
